trace	posterior	likelihood	prior	NInfinity	b	f0	tree.height	tree.treeLength	treeLikelihood
mean	-2867.30358477654	-2716.99948134113	-150.304103435405	2347.05579120569	0.40518468067224	0.693379936690573	8.12466504713702	245.512436443936	-2716.99948134113
stderr.of.mean	0.112079866888953	0.0890991439310993	0.0934611488276622	20.5396408376025	0.000343514220014619	0.00131942727882846	0.0093429823567601	0.239201426834487	0.0890991439310993
stdev	6.26032046188273	5.36423943285279	4.15567556247748	951.191367373113	0.0190569512119609	0.0472570783683371	0.375456728433512	10.8358026382979	5.36423943285279
variance	39.1916122854677	28.7750646929728	17.2696393805725	904765.017365132	0.000363167389495058	0.00223323145591116	0.140967754925996	117.414618816143	28.7750646929728
median	-2866.85460651136	-2716.60361757198	-150.140468711381	2163.88037077774	0.404953238044071	0.695211470617267	8.11994747663463	245.367319394726	-2716.60361757198
mode	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric
geometric.mean	NaN	NaN	NaN	2181.54009495478	0.404736889180338	0.691739615653744	8.11599788561322	245.273308691655	NaN
HPD95.lower	-2897.49101183908	-2746.7319456065	-166.810648122502	553.713492385417	0.34275587537321	0.45375748225036	6.64120209079365	205.557987554349	-2746.7319456065
HPD95.upper	-2857.75828722008	-2708.93292498681	-143.677045001946	4170.9171128689	0.43708571842657	0.768824514961264	8.74531891808262	263.454199566305	-2708.93292498681
ACT	2884.7261204093	2482.98020955164	4552.20137251745	4196.5499238924	2924.32137845731	7015.84014596708	5573.0607654351	4385.7903064504	2482.98020955164
ESS	3120.22688612218	3625.07923557931	1977.28511184519	2144.85712388508	3077.97907107883	1282.95397453918	1615.09094891365	2052.30970271464	3625.07923557931
n.samples	9001	9001	9001	9001	9001	9001	9001	9001	9001
chain.length	1e+07	1e+07	1e+07	1e+07	1e+07	1e+07	1e+07	1e+07	1e+07
log.every	1000	1000	1000	1000	1000	1000	1000	1000	1000
