trace	posterior	likelihood	prior	NInfinity	b	f0	tree.height	tree.treeLength	treeLikelihood
mean	-3417.02155623998	-3276.48874837329	-140.532807866695	4625.04786885262	0.402201192988595	0.806723709124115	9.62353634986056	326.005957558383	-3276.48874837329
stderr.of.mean	0.230966090619777	0.185747043983279	0.116730554914225	53.6804113968415	0.000612068077152529	0.00173038057928909	0.01488117878915	0.486902167387217	0.185747043983279
stdev	7.83545513116076	6.8186000625727	4.31656287470471	1885.32334233733	0.0186380720978099	0.0362754575442837	0.385669361008121	12.9067770698811	6.8186000625727
variance	61.3943571124336	46.4933068133164	18.632715051279	3554444.10516201	0.000347377731523159	0.00131590882004713	0.148740856020412	166.584894331609	46.4933068133164
median	-3416.62181000844	-3276.04960018564	-140.394728110869	4275.59762878983	0.401586443364592	0.808042195663253	9.62659404350356	326.037117010298	-3276.04960018564
mode	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric
geometric.mean	NaN	NaN	NaN	4289.78876814465	0.401770578103753	0.805898317291944	9.61579347977488	325.750188670745	NaN
HPD95.lower	-3462.63664778321	-3326.51632077113	-157.329825977867	836.928593956536	0.339801645750938	0.64149111381394	8.34100790701109	284.274186632108	-3326.51632077113
HPD95.upper	-3405.17729243351	-3266.2014700372	-133.586184427971	8074.53885987898	0.433451085355274	0.864892505567555	10.2500505035565	347.239265713449	-3266.2014700372
ACT	7820.06737751403	6678.76080636723	6581.6602789096	7296.29669848163	9705.99330939756	20478.5862055182	13399.4476575609	12808.2649250805	6678.76080636723
ESS	1151.01310071594	1347.70509993693	1367.588058114	1233.63952590814	927.365156051059	439.532295328794	671.744106923764	702.749361654338	1347.70509993693
n.samples	9001	9001	9001	9001	9001	9001	9001	9001	9001
chain.length	1e+07	1e+07	1e+07	1e+07	1e+07	1e+07	1e+07	1e+07	1e+07
log.every	1000	1000	1000	1000	1000	1000	1000	1000	1000
