trace	posterior	likelihood	prior	NInfinity	b	f0	tree.height	tree.treeLength	treeLikelihood
mean	-3188.99402998213	-3032.40714244086	-156.586887541274	2377.00869940415	0.400099294702483	0.806246640234682	9.45610848420264	290.71451031609	-3032.40714244086
stderr.of.mean	0.158913277120783	0.127386777384272	0.0926367831485564	21.0405827430602	0.00045436512568401	0.00120740506864408	0.0112050948408879	0.29762172662669	0.127386777384272
stdev	7.10048587144076	6.23695726141498	3.99344839086863	941.034070226425	0.018310421050976	0.0367023306702803	0.416551701064444	11.920781417258	6.23695726141498
variance	50.4168996105298	38.8996358807171	15.9476300505313	885545.121326913	0.000335271519064024	0.0013470610766306	0.173515319659682	142.105029598043	38.8996358807171
median	-3188.3624748706	-3031.89778498776	-156.420981978996	2188.02665097779	0.399642568073889	0.807913340325202	9.44737617264606	290.567006587385	-3031.89778498776
mode	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric
geometric.mean	NaN	NaN	NaN	2214.17855691102	0.399681134206474	0.805401291956795	9.4469361019396	290.470274063404	NaN
HPD95.lower	-3218.1819983535	-3059.45346050551	-173.376317458416	645.212702994704	0.330384500531004	0.603081104768345	8.12691350661609	248.466488126666	-3059.45346050551
HPD95.upper	-3178.32195461173	-3023.19870962287	-150.240360405328	4203.09453763774	0.431231064128326	0.862481541533763	10.1567877541209	310.855776418509	-3023.19870962287
ACT	4508.02936628803	3754.44433762689	4842.98677175126	4499.32471464388	5541.8634699095	9740.05044294208	6512.32030581181	5609.9929879693	3754.44433762689
ESS	1996.65957531495	2397.42534195869	1858.56382109117	2000.52242744441	1624.18292129939	924.122524080189	1382.14946091752	1604.45833342444	2397.42534195869
n.samples	9001	9001	9001	9001	9001	9001	9001	9001	9001
chain.length	1e+07	1e+07	1e+07	1e+07	1e+07	1e+07	1e+07	1e+07	1e+07
log.every	1000	1000	1000	1000	1000	1000	1000	1000	1000
