trace	posterior	likelihood	prior	NInfinity	b	f0	tree.height	tree.treeLength	treeLikelihood
mean	-2836.04535441745	-2689.24480652392	-146.80054789353	2746.85716482048	0.409204444965141	0.675806814763327	7.85567931546565	244.305024667341	-2689.24480652392
stderr.of.mean	0.144528260269513	0.114061020927461	0.110539595938461	29.9792446385508	0.000353747535562592	0.00189085066471005	0.0123346157840956	0.345389584265108	0.114061020927461
stdev	6.48821158454777	5.51926343318543	4.25669280069695	1128.58797460808	0.0189329723894939	0.0479215441901314	0.361156322810111	10.64529326308	5.51926343318543
variance	42.0968895658598	30.4622688448978	18.1194335995053	1273710.81642998	0.000358457443501339	0.00229647439756672	0.130433889505721	113.322268656977	30.4622688448978
median	-2835.62266108893	-2688.76076920154	-146.640100518356	2525.57759532744	0.408719190030108	0.676548294953022	7.85405447712095	244.253244958751	-2688.76076920154
mode	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric
geometric.mean	NaN	NaN	NaN	2545.67608112284	0.408767693390407	0.674088027561333	7.84737837997017	244.073217494587	NaN
HPD95.lower	-2866.05805095246	-2716.21578282504	-167.003924890278	655.299769885431	0.343693736165125	0.493063608487813	6.62899125269649	208.330906122277	-2716.21578282504
HPD95.upper	-2826.25679280737	-2680.98940112332	-139.959167784243	4890.13015085158	0.441325396123015	0.753114563489408	8.45724939235923	261.989036895719	-2680.98940112332
ACT	4465.78741960823	3843.74675457565	6069.23050163547	6350.57485394741	3141.89557718338	14011.8460553915	10497.9212622999	9474.26912414209	3843.74675457565
ESS	2015.54600661884	2341.72555444374	1483.05456475487	1417.35200466224	2864.83104829001	642.38501939126	857.407840571675	950.046898822399	2341.72555444374
n.samples	9001	9001	9001	9001	9001	9001	9001	9001	9001
chain.length	1e+07	1e+07	1e+07	1e+07	1e+07	1e+07	1e+07	1e+07	1e+07
log.every	1000	1000	1000	1000	1000	1000	1000	1000	1000
