trace	posterior	likelihood	prior	NInfinity	b	f0	tree.height	tree.treeLength	treeLikelihood
mean	-2932.08462264452	-2793.73538424489	-138.349238399636	3980.6864546342	0.411303581285105	0.681016737806301	8.03646971707585	260.454627423459	-2793.73538424489
stderr.of.mean	0.146208874882888	0.126350270817557	0.100137475159409	38.5432000111745	0.000363636845846016	0.00146619403484846	0.0088080196092427	0.263621030422808	0.126350270817557
stdev	7.13038971614363	5.95651401427696	4.45162137916591	1675.73961063639	0.0188685386884402	0.0456429297195407	0.343136643446128	10.8534892571441	5.95651401427696
variance	50.8424575040869	35.4800592022779	19.816932903447	2808103.24265581	0.000356021752237164	0.00208327703338293	0.117742756075475	117.798229054942	35.4800592022779
median	-2931.72929989407	-2793.46045818968	-138.157466043487	3652.16447719605	0.410794326035032	0.68140484441427	8.02915711088449	260.150007238976	-2793.46045818968
mode	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric
geometric.mean	NaN	NaN	NaN	3673.96996433773	0.410872054703839	0.679473346570889	8.0291540157614	260.228609118184	NaN
HPD95.lower	-2963.48398224814	-2817.11007031414	-159.525304057524	738.545285002802	0.343937414544944	0.488428250969583	6.76303815705765	224.479989792376	-2817.11007031414
HPD95.upper	-2920.91316929296	-2784.46962969289	-131.448652947904	7111.330062752	0.443141250182207	0.755483544613773	8.60082210336655	278.646776944304	-2784.46962969289
ACT	3784.10727805573	4049.58503107528	4554.06619718864	4761.29368598401	3342.73335474839	9287.06263331243	5930.13871582489	5309.62499544151	4049.58503107528
ESS	2378.6323533155	2222.69687657601	1976.47544200315	1890.45259411251	2692.70655022902	969.197727569282	1517.83970516244	1695.22329876925	2222.69687657601
n.samples	9001	9001	9001	9001	9001	9001	9001	9001	9001
chain.length	1e+07	1e+07	1e+07	1e+07	1e+07	1e+07	1e+07	1e+07	1e+07
log.every	1000	1000	1000	1000	1000	1000	1000	1000	1000
