trace	posterior	likelihood	prior	NInfinity	b	f0	tree.height	tree.treeLength	treeLikelihood
mean	-2994.65612705712	-2844.52534693354	-150.130780123577	2594.08943493792	0.404061809650478	0.726531296048208	8.49892117215708	262.313735075063	-2844.52534693354
stderr.of.mean	0.142768960608452	0.12053208257482	0.110604226191859	26.4413614798826	0.000402981127369029	0.00167940922305192	0.0118582240553725	0.308321439615869	0.12053208257482
stdev	6.72873973213741	5.96413665486074	4.43730193569909	1065.23254897176	0.018868416356823	0.0461491276960156	0.386143523830138	11.3111811758933	5.96413665486074
variance	45.2759383828446	35.5709260378534	19.6896484685589	1134720.38338888	0.000356017135814426	0.00212974198710315	0.149106820995957	127.942819593884	35.5709260378534
median	-2994.22690815626	-2844.18398716621	-149.90170346029	2400.15438570583	0.403704220042352	0.727914018569045	8.49598806435053	262.099394217609	-2844.18398716621
mode	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric
geometric.mean	NaN	NaN	NaN	2404.82011184878	0.403622144650503	0.725045227555172	8.49015645088648	262.069741504438	NaN
HPD95.lower	-3025.32774451533	-2880.17247930667	-170.387039605115	562.717645774339	0.338011970186078	0.526099205381713	7.04501618809123	223.3084935539	-2880.17247930667
HPD95.upper	-2984.29179965134	-2835.28368534474	-143.182057751734	4586.91657843059	0.435622231522728	0.800241756329201	9.1431760757399	281.164755492781	-2835.28368534474
ACT	4051.74998700181	3675.80660157814	5591.7530716739	5545.25184055771	4105.26330355795	11918.6915065679	8487.58813077303	6687.04178393503	3675.80660157814
ESS	2221.50923153591	2448.71424849599	1609.69196683528	1623.19048057784	2192.55120425504	755.20035022636	1060.48972467991	1346.03615332927	2448.71424849599
n.samples	9001	9001	9001	9001	9001	9001	9001	9001	9001
chain.length	1e+07	1e+07	1e+07	1e+07	1e+07	1e+07	1e+07	1e+07	1e+07
log.every	1000	1000	1000	1000	1000	1000	1000	1000	1000
