trace	posterior	likelihood	prior	NInfinity	b	f0	tree.height	tree.treeLength	treeLikelihood
mean	-2802.19529498011	-2646.63232249343	-155.562972486671	1888.18059480063	0.403995999599239	0.691023947327919	7.95885861532936	236.477985792685	-2646.63232249343
stderr.of.mean	0.159578311995095	0.147263430111217	0.13542408421835	21.1203016894046	0.000341281611711164	0.00209098753621025	0.0145309452175308	0.327343475539739	0.147263430111217
stdev	6.83941405101208	6.23650545838119	4.50535036846196	756.442868555721	0.018634317917064	0.0493067248371068	0.396154117744945	10.5286507825123	6.23650545838119
variance	46.7775845611814	38.8940003324184	20.2981819426003	572205.813388808	0.000347237804234214	0.00243115311416216	0.156938085006275	110.852487300097	38.8940003324184
median	-2801.81376292285	-2646.29878323107	-155.390689465602	1733.58741612388	0.40354430626095	0.692465093771577	7.94827767346589	236.373890474395	-2646.29878323107
mode	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric
geometric.mean	NaN	NaN	NaN	1757.4750410147	0.403567485625274	0.689234417443805	7.94902556629839	236.243443504118	NaN
HPD95.lower	-2831.48144142884	-2676.06580878767	-173.601087119897	356.372719979746	0.335794246371758	0.48793978905579	6.56880143751737	194.864709660052	-2676.06580878767
HPD95.upper	-2791.67294832498	-2637.05792127444	-148.359825487543	3291.57025579264	0.435699736645667	0.770351538520019	8.64408547161668	254.1260557638	-2637.05792127444
ACT	4899.50770766293	5018.22020248189	8131.6219209394	7016.01442621538	3018.84823802484	16185.7594136095	12108.8217477422	8699.70327584254	5018.22020248189
ESS	1837.12334729513	1793.66381641609	1106.9132440629	1282.92210551445	2981.6006934781	556.106128232184	743.342348868776	1034.63298857492	1793.66381641609
n.samples	9001	9001	9001	9001	9001	9001	9001	9001	9001
chain.length	1e+07	1e+07	1e+07	1e+07	1e+07	1e+07	1e+07	1e+07	1e+07
log.every	1000	1000	1000	1000	1000	1000	1000	1000	1000
