trace	posterior	likelihood	prior	NInfinity	b	f0	tree.height	tree.treeLength	treeLikelihood
mean	-3196.3037962381	-3036.56478923597	-159.739007002137	1816.98240333671	0.393079613119541	0.779641907974952	9.21600241765332	277.343675327943	-3036.56478923597
stderr.of.mean	0.114330409059123	0.0844669161326644	0.101632820506723	14.7731579014753	0.000384005435855408	0.00115759644635489	0.0101348304176483	0.250124458704952	0.0844669161326644
stdev	6.1163113250165	5.28934527829868	4.43928150142831	684.992777081592	0.0180958767772204	0.0402006335290769	0.418304255948606	11.5403306357246	5.28934527829868
variance	37.4092642245251	27.9771734730606	19.7072202489236	469215.104653952	0.000327460756336344	0.00161609093613914	0.174978450544717	133.179231181843	27.9771734730606
median	-3195.88972908213	-3036.17074128351	-159.584231207454	1689.3594497149	0.392939416032729	0.781724070467552	9.20524524687973	277.183900955482	-3036.17074128351
mode	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric
geometric.mean	NaN	NaN	NaN	1703.08772238148	0.392662939401671	0.778591690448926	9.20651707452457	277.1037397961	NaN
HPD95.lower	-3225.09987486223	-3060.0922903215	-177.394034522547	490.649010393692	0.329911589427043	0.613322080552488	7.78106738538313	235.63532449042	-3060.0922903215
HPD95.upper	-3186.95728497768	-3028.51344749446	-152.7361317202	3115.68085817032	0.423206398165236	0.842414108169722	9.91715833171031	296.52948734035	-3028.51344749446
ACT	3144.75526068033	2295.15460372554	4717.20869384162	4186.17326191222	4052.82627256533	7462.61573215753	5283.12528805598	4227.83786656527	2295.15460372554
ESS	2862.22591390235	3921.74016747691	1908.11994638926	2150.1737832725	2220.91927821584	1206.145448601	1703.72639474391	2128.98419572378	3921.74016747691
n.samples	9001	9001	9001	9001	9001	9001	9001	9001	9001
chain.length	1e+07	1e+07	1e+07	1e+07	1e+07	1e+07	1e+07	1e+07	1e+07
log.every	1000	1000	1000	1000	1000	1000	1000	1000	1000
