trace	posterior	likelihood	prior	NInfinity	b	f0	tree.height	tree.treeLength	treeLikelihood
mean	-3186.04918167956	-3034.15650477072	-151.892676908842	2615.17599333077	0.40053966220637	0.780835406150528	9.19997294650355	286.043744933496	-3034.15650477072
stderr.of.mean	0.147582598162459	0.103853788093991	0.103349262939199	22.4916681888073	0.000501638848143562	0.00143960767858442	0.0115354129020906	0.319648832929803	0.103853788093991
stdev	6.52688984434147	5.4388642643888	4.09589870239017	1022.10436770004	0.0188577587807529	0.0400557381349489	0.39238736312821	11.7579385372363	5.4388642643888
variance	42.6002910401679	29.5812444864455	16.7763861802415	1044697.33847149	0.000355615066233064	0.0016044621575356	0.15396784274271	138.249118645427	29.5812444864455
median	-3185.68589359252	-3033.74604721221	-151.67667399332	2438.56536834556	0.399987395076406	0.782333253184101	9.18988632798108	285.603764393263	-3033.74604721221
mode	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric
geometric.mean	NaN	NaN	NaN	2439.11341937562	0.400096771664529	0.779795618537699	9.19162017783503	285.802691696053	NaN
HPD95.lower	-3214.87193688962	-3058.10245175299	-169.486523319631	646.848114088679	0.33751830803301	0.599098414751203	7.86305293838856	243.916933992911	-3058.10245175299
HPD95.upper	-3175.94692693559	-3025.94318301945	-145.588842579976	4566.45718281927	0.432909147148653	0.844427498365263	9.86257577118164	305.608436936894	-3025.94318301945
ACT	4601.5086356695	3281.48744922892	5730.05587324356	4358.08153937835	6368.61031151231	11625.2241265245	7778.19394801576	6651.60389590714	3281.48744922892
ESS	1956.09760030156	2742.96340890014	1570.83983107915	2065.35832766542	1413.33816322993	774.264642301647	1157.20950906556	1353.20745805963	2742.96340890014
n.samples	9001	9001	9001	9001	9001	9001	9001	9001	9001
chain.length	1e+07	1e+07	1e+07	1e+07	1e+07	1e+07	1e+07	1e+07	1e+07
log.every	1000	1000	1000	1000	1000	1000	1000	1000	1000
