trace	posterior	likelihood	prior	NInfinity	b	f0	tree.height	tree.treeLength	treeLikelihood
mean	-2967.18692079971	-2823.39083169465	-143.796089105064	3413.98805088991	0.409963807155062	0.71382737971609	8.27181880157554	264.066936344299	-2823.39083169465
stderr.of.mean	0.131819412073595	0.107497730875661	0.0777830522375676	28.9775059356006	0.000473478720974899	0.00148549517259214	0.00950096437321477	0.288997415675291	0.107497730875661
stdev	6.66262918176077	5.58953520987011	3.92706285270144	1359.70579447516	0.0188335693086435	0.045365720010412	0.363272022738719	11.3397873704826	5.58953520987011
variance	44.3906276136502	31.2429038623777	15.4218226490675	1848799.84752933	0.000354703332903478	0.0020580485520631	0.13196656250468	128.590777607756	31.2429038623777
median	-2966.81804972209	-2823.06170048149	-143.637687564394	3148.40604175896	0.409287320992689	0.715898131997302	8.267213785526	263.991926198721	-2823.06170048149
mode	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric
geometric.mean	NaN	NaN	NaN	3172.16010609137	0.40953232574799	0.712359321226023	8.26383959312256	263.823298811415	NaN
HPD95.lower	-2996.34777886027	-2850.78553652692	-161.320768452502	768.762524912581	0.341623634192788	0.528667521199954	6.92434947578867	221.029419955155	-2850.78553652692
HPD95.upper	-2956.89919062195	-2814.65168306279	-137.663310880293	5969.66353461928	0.441605106421457	0.78435980358363	8.88515280894295	282.818952116346	-2814.65168306279
ACT	3522.97822921654	3328.81535163599	3530.82962405724	4087.65857971573	5688.24333146076	9650.04586750573	6156.21783837282	5845.48566473316	3328.81535163599
ESS	2554.94056856596	2703.96493923171	2549.25922754014	2201.99408156685	1582.38659556227	932.741680566386	1462.09900889068	1539.8207294057	2703.96493923171
n.samples	9001	9001	9001	9001	9001	9001	9001	9001	9001
chain.length	1e+07	1e+07	1e+07	1e+07	1e+07	1e+07	1e+07	1e+07	1e+07
log.every	1000	1000	1000	1000	1000	1000	1000	1000	1000
