trace	posterior	likelihood	prior	NInfinity	b	f0	tree.height	tree.treeLength	treeLikelihood
mean	-3443.13012289835	-3301.00967748311	-142.12044541524	4756.34302675429	0.404059389274977	0.82931383296357	9.90512491132895	334.442910237999	-3301.00967748311
stderr.of.mean	0.232746921935531	0.196058311157517	0.0960794923930032	46.3385587616062	0.000685814794366663	0.00136124732581793	0.0144695872582034	0.463432994130372	0.196058311157517
stdev	8.19046441511012	7.15638280231565	3.91650895699877	1978.40493547012	0.019028737351419	0.0328913299905207	0.394117031351638	12.9425575165053	7.15638280231565
variance	67.0837073351852	51.2138148132792	15.3390424102516	3914086.08869252	0.000362092845189289	0.00108183958854533	0.155328234401428	167.509795068049	51.2138148132792
median	-3442.76991882769	-3300.59164303331	-141.963338004234	4340.27008078118	0.403314563163845	0.831052972270436	9.89123242079261	334.209971128244	-3300.59164303331
mode	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric
geometric.mean	NaN	NaN	NaN	4403.49017631194	0.403612859685688	0.828654373356417	9.89729865577614	334.192761887114	NaN
HPD95.lower	-3481.0184077011	-3338.39502869816	-158.661539063965	960.256828797484	0.344029258924459	0.650758252148755	8.46308721346301	286.532860744496	-3338.39502869816
HPD95.upper	-3430.46222992243	-3289.97184092898	-136.050131129539	8544.48962158107	0.436577233312779	0.880129997799635	10.5636443996533	356.22035351749	-3289.97184092898
ACT	7267.63890044355	6755.00837724655	5416.33672290077	4937.38706212166	11690.5854217489	15415.361490842	12131.2173720577	11539.2131892299	6755.00837724655
ESS	1238.50402081076	1332.49279605911	1661.8243031204	1823.02904081661	769.935779542292	583.898081491461	741.970053288498	780.035852739167	1332.49279605911
n.samples	9001	9001	9001	9001	9001	9001	9001	9001	9001
chain.length	1e+07	1e+07	1e+07	1e+07	1e+07	1e+07	1e+07	1e+07	1e+07
log.every	1000	1000	1000	1000	1000	1000	1000	1000	1000
