trace	posterior	likelihood	prior	NInfinity	b	f0	tree.height	tree.treeLength	treeLikelihood
mean	-3207.73076245625	-3068.69348381933	-139.037278636927	4499.27157065731	0.406318164895443	0.762197332568945	8.97304660648946	298.83180609242	-3068.69348381933
stderr.of.mean	0.161343726781548	0.115544191039361	0.109384507147355	45.8132588002839	0.000500032340995417	0.00153942177231289	0.0113755347388284	0.345172446188916	0.115544191039361
stdev	7.16542994242537	6.01309487571674	4.19571506963721	1864.15943414458	0.0185867365265464	0.0390966064414918	0.370135309840473	11.9899126212927	6.01309487571674
variance	51.3433862598061	36.1573099843709	17.6040249455808	3475090.39591026	0.000345466774707254	0.0015285446352409	0.137000147590703	143.758004666233	36.1573099843709
median	-3207.22409923303	-3068.28115334206	-138.783503647113	4134.05245660832	0.405793031054301	0.764291410949063	8.9662417804678	298.713338775088	-3068.28115334206
mode	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric
geometric.mean	NaN	NaN	NaN	4165.4904152674	0.405893835917926	0.761180854580976	8.96541948766322	298.591383636992	NaN
HPD95.lower	-3238.75447428787	-3094.52528497935	-157.11832372857	881.475707989167	0.341767754904517	0.598517883599416	7.48528280296965	254.260301961929	-3094.52528497935
HPD95.upper	-3196.78192218035	-3059.62520050794	-132.458616012813	7938.25341599675	0.437769767605711	0.823249142731622	9.5878147903074	318.705676604466	-3059.62520050794
ACT	4563.12288145314	3323.09398334709	6117.05179004636	5435.74116119133	6513.76981910263	13953.3866284278	8500.90398770903	7459.03609140733	3323.09398334709
ESS	1972.55262105359	2708.62035353391	1471.46048602145	1655.89194427854	1381.8418903295	645.076370324458	1058.82856846919	1206.72428577856	2708.62035353391
n.samples	9001	9001	9001	9001	9001	9001	9001	9001	9001
chain.length	1e+07	1e+07	1e+07	1e+07	1e+07	1e+07	1e+07	1e+07	1e+07
log.every	1000	1000	1000	1000	1000	1000	1000	1000	1000
