trace	posterior	likelihood	prior	NInfinity	b	f0	tree.height	tree.treeLength	treeLikelihood
mean	-3147.29315196905	-3004.22188279155	-143.071269177492	3978.25379521202	0.40833835255024	0.766019848491522	8.87748517362126	292.378607245925	-3004.22188279155
stderr.of.mean	0.311844530408696	0.282698546249144	0.102305475174465	40.4276083276638	0.000463723094399179	0.00147241811165998	0.0125554825555157	0.371762761212834	0.282698546249144
stdev	8.98545271445357	7.93615313709249	4.08709197568243	1617.02099392593	0.0186803604633308	0.039668822649542	0.37443381274963	11.8315244838228	7.93615313709249
variance	80.738360483681	62.982526615383	16.7043208176877	2614756.89479722	0.000348955867039971	0.00157361549040081	0.140200680130225	139.984971611298	62.982526615383
median	-3146.71632141051	-3003.61202226858	-142.838964033837	3691.64117167007	0.407996759929702	0.767625558414885	8.86842781819125	292.335770949527	-3003.61202226858
mode	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric
geometric.mean	NaN	NaN	NaN	3689.51647334853	0.407911378005474	0.764978071016383	8.86959358550201	292.139120747807	NaN
HPD95.lower	-3190.30489537967	-3043.06515320266	-161.86047542254	838.778625705838	0.344957425124245	0.603251686765427	7.53503163911718	247.093299823014	-3043.06515320266
HPD95.upper	-3133.57929684922	-2992.30237893679	-136.717198934237	6971.50720112732	0.439662015303017	0.828269113605677	9.50763035218967	312.150388891927	-2992.30237893679
ACT	10840.2385714045	11420.0912893658	5639.12128611542	5625.57975600888	5546.12239947647	12399.5574128713	10119.5034216906	8885.72484565574	11420.0912893658
ESS	830.332279193906	788.172333471764	1596.1706697393	1600.01286807563	1622.93569302575	725.913006431708	889.470522902026	1012.97307269205	788.172333471764
n.samples	9001	9001	9001	9001	9001	9001	9001	9001	9001
chain.length	1e+07	1e+07	1e+07	1e+07	1e+07	1e+07	1e+07	1e+07	1e+07
log.every	1000	1000	1000	1000	1000	1000	1000	1000	1000
