trace	posterior	likelihood	prior	NInfinity	b	f0	tree.height	tree.treeLength	treeLikelihood
mean	-3096.09833116524	-2947.92638919691	-148.171941968335	3125.32770736749	0.405237102050739	0.760747543427101	8.84079580819101	280.825692655354	-2947.92638919691
stderr.of.mean	0.155310722494444	0.137674691202105	0.0899372933504771	29.7399826409129	0.000463522966954641	0.00165125281568466	0.0130658678373983	0.379613548274953	0.137674691202105
stdev	6.79490061635514	5.75250732206406	3.88377059886974	1254.7529313329	0.0188651019394624	0.0424859716466807	0.38962748412373	11.8787089203352	5.75250732206406
variance	46.1706743861435	33.0913404904007	15.083674064645	1574404.9186885	0.000355892071186308	0.00180505778676256	0.151809576384588	141.10372561405	33.0913404904007
median	-3095.58598520759	-2947.45024226324	-148.00884459849	2874.49261914841	0.404811884920245	0.763741031066148	8.83711008812859	280.721245153903	-2947.45024226324
mode	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric
geometric.mean	NaN	NaN	NaN	2905.7404578861	0.404799080327048	0.759541977712118	8.83221491686489	280.574357114476	NaN
HPD95.lower	-3130.21967793041	-2973.21262893192	-164.48354616755	855.689163251048	0.346401416296996	0.568640585802693	7.59214451289099	241.664278505153	-2973.21262893192
HPD95.upper	-3085.76275268789	-2939.2017316118	-142.082488369937	5450.20281116482	0.437524487249005	0.826780242021971	9.49242122519003	300.712183943647	-2939.2017316118
ACT	4701.96255311164	5155.09135454346	4826.30752999202	5056.00491625314	5433.33780303582	13594.9788581628	10120.9168665244	9191.52200021096	5155.09135454346
ESS	1914.30703633388	1746.04083244168	1864.98683394402	1780.25934489605	1656.624404058	662.08267728166	889.346303176486	979.271985618205	1746.04083244168
n.samples	9001	9001	9001	9001	9001	9001	9001	9001	9001
chain.length	1e+07	1e+07	1e+07	1e+07	1e+07	1e+07	1e+07	1e+07	1e+07
log.every	1000	1000	1000	1000	1000	1000	1000	1000	1000
