trace	posterior	likelihood	prior	NInfinity	b	f0	tree.height	tree.treeLength	treeLikelihood
mean	-2983.91994596457	-2831.89694766658	-152.022998297992	2456.52954866134	0.403302456683279	0.74564543858241	8.67552250029713	264.401587540806	-2831.89694766658
stderr.of.mean	0.136281581730664	0.106546194663426	0.105152369640465	24.4722748259329	0.000447318834520108	0.00155064712975004	0.0125030704115328	0.333620669673204	0.106546194663426
stdev	6.64787601279053	5.70561442052875	4.00857867897907	980.069613785283	0.0185810968423709	0.0423141785416396	0.387291639198681	11.2802192021537	5.70561442052875
variance	44.1942554814358	32.5540359157457	16.0687030255656	960536.447865233	0.000345257159865565	0.00179048970565375	0.149994813793202	127.243345248638	32.5540359157457
median	-2983.35482392627	-2831.39277007659	-151.830757912664	2255.88445371893	0.402703474908694	0.747359176001772	8.67112850659525	264.329151928282	-2831.39277007659
mode	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric
geometric.mean	NaN	NaN	NaN	2286.14076620414	0.402875118692087	0.744428454858802	8.6668889529717	264.161313602767	NaN
HPD95.lower	-3011.8541146575	-2859.16810473419	-170.021137240959	610.142832502444	0.327524349934195	0.533322762863153	7.35723559816824	227.608082149659	-2859.16810473419
HPD95.upper	-2973.85846552193	-2823.37557081529	-145.764237815632	4332.16273960681	0.43430710636222	0.811544189023553	9.32560857638676	283.597571029658	-2823.37557081529
ACT	3782.25680660444	3138.43799209391	6192.98185934239	5611.47894162632	5215.95913004782	12086.3908647548	9379.93037553845	7872.51189266047	3138.43799209391
ESS	2379.79610064625	2867.98720340327	1453.41940351748	1604.0334631268	1725.66536193651	744.721902569596	959.602005519502	1143.34536711105	2867.98720340327
n.samples	9001	9001	9001	9001	9001	9001	9001	9001	9001
chain.length	1e+07	1e+07	1e+07	1e+07	1e+07	1e+07	1e+07	1e+07	1e+07
log.every	1000	1000	1000	1000	1000	1000	1000	1000	1000
