trace	posterior	likelihood	prior	NInfinity	b	f0	tree.height	tree.treeLength	treeLikelihood
mean	-2529.67572982717	-2383.82976771588	-145.845962111285	2752.14258790343	0.421679437409144	0.60186510227645	6.95104151744087	212.651450962723	-2383.82976771588
stderr.of.mean	0.185934909152028	0.169736343210557	0.0655832650354519	22.375995544615	0.000300361710357925	0.00126954223617053	0.0067320641363621	0.178778063283944	0.169736343210557
stdev	7.16888843577632	6.24733556013626	3.59651979159233	1135.44068911579	0.0195354747675344	0.0523580036363961	0.348744765508603	9.94510975870839	6.24733556013626
variance	51.3929614046074	39.0292016009431	12.9349546113153	1289225.55849975	0.000381634774392973	0.00274136054478887	0.121622911469651	98.905208112757	39.0292016009431
median	-2529.35289969734	-2383.43223525452	-145.706631405056	2528.10513940727	0.421161695698613	0.603409926215689	6.94521511137583	212.469820142245	-2383.43223525452
mode	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric
geometric.mean	NaN	NaN	NaN	2549.24000751347	0.421227818748032	0.599552821801662	6.94229967634311	212.419119313317	NaN
HPD95.lower	-2562.5023297592	-2415.51502635542	-160.171167716579	614.964360077326	0.357637274699262	0.385275739373809	5.7626181436768	176.253168425741	-2415.51502635542
HPD95.upper	-2518.46055769062	-2374.20645280594	-140.210771759121	4885.03415626611	0.454795693097634	0.685666688988232	7.52176556114504	229.286143666638	-2374.20645280594
ACT	6054.25532265885	6643.58536739844	2992.70330354483	3495.25069850906	2127.56923084277	5291.40074379496	3353.69526892954	2908.38435246798	6643.58536739844
ESS	1486.72289493847	1354.84072262696	3007.6486330397	2575.20869785949	4230.64963974616	1701.06186165453	2683.90514886376	3094.8454224635	1354.84072262696
n.samples	9001	9001	9001	9001	9001	9001	9001	9001	9001
chain.length	1e+07	1e+07	1e+07	1e+07	1e+07	1e+07	1e+07	1e+07	1e+07
log.every	1000	1000	1000	1000	1000	1000	1000	1000	1000
