trace	posterior	likelihood	prior	NInfinity	b	f0	tree.height	tree.treeLength	treeLikelihood
mean	-2983.96517529419	-2837.89236482657	-146.072810467623	3131.63774468497	0.407419436089445	0.722768016606641	8.39920144352015	265.63191502159	-2837.89236482657
stderr.of.mean	0.145999120748108	0.115589286085699	0.121992103600796	34.2796061739366	0.00044698655792677	0.00208770198626581	0.0135447042369581	0.370668264689115	0.115589286085699
stdev	6.68489211435182	5.82084940090735	4.28533178693887	1298.41575807619	0.0189374221314137	0.0452570175898555	0.374367069257963	11.2623712155132	5.82084940090735
variance	44.6877825805231	33.8822877480435	18.3640685241487	1685883.48082058	0.000358625956983358	0.00204819764112849	0.140150702544796	126.84100539602	33.8822877480435
median	-2983.50884967574	-2837.4125869856	-145.968621779483	2869.82636808448	0.40668786731721	0.724555704598757	8.38731900453933	265.481998736837	-2837.4125869856
mode	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric
geometric.mean	NaN	NaN	NaN	2898.46609555146	0.406980601806214	0.721327858379911	8.3908610109882	265.393124030856	NaN
HPD95.lower	-3015.7871594672	-2867.71521765066	-164.123643951479	745.815114675267	0.345720288258767	0.536503738233928	7.21358107384543	228.128366212744	-2867.71521765066
HPD95.upper	-2973.84002043788	-2829.06663911164	-139.384226504243	5606.9414785563	0.439422421766498	0.794178246279075	9.02395781673031	284.289604793259	-2829.06663911164
ACT	4292.93368089787	3548.99134703839	7293.51767767764	6273.16335008421	5014.06211538886	19151.7141603746	11781.111799193	9748.85560786835	3548.99134703839
ESS	2096.70138629242	2536.21356600693	1234.10957480068	1434.84227935483	1795.15127512574	469.984040312345	764.019572466542	923.28785675472	2536.21356600693
n.samples	9001	9001	9001	9001	9001	9001	9001	9001	9001
chain.length	1e+07	1e+07	1e+07	1e+07	1e+07	1e+07	1e+07	1e+07	1e+07
log.every	1000	1000	1000	1000	1000	1000	1000	1000	1000
