trace	posterior	likelihood	prior	NInfinity	b	f0	tree.height	tree.treeLength	treeLikelihood
mean	-3588.27710903214	-3453.03225826849	-135.244850763647	6262.8402277218	0.403680366068645	0.84378830011328	10.2721249966312	358.356782986659	-3453.03225826849
stderr.of.mean	0.218901011004273	0.183143499879099	0.122294465398045	71.6335010300505	0.000757491584146144	0.00140001412402105	0.0164820026729224	0.545211929216214	0.183143499879099
stdev	7.45101897094378	6.29237164238576	4.28829045363354	2594.5125591964	0.0188271144377953	0.0302417939337399	0.397932782798062	13.5500091774417	6.29237164238576
variance	55.5176837053641	39.5939408859004	18.3894350147246	6731495.41982784	0.00035446023805384	0.000914566100330786	0.158350499625409	183.602748708753	39.5939408859004
median	-3587.96259011233	-3452.7042754695	-134.982621709357	5748.24129698915	0.403247557796584	0.845510206738807	10.2716502138596	358.25595714652	-3452.7042754695
mode	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric
geometric.mean	NaN	NaN	NaN	5790.41005506572	0.403242465234788	0.843240340480378	10.2644130919363	358.100498206978	NaN
HPD95.lower	-3618.44331541666	-3480.70935196678	-151.654407754466	1469.52471562635	0.347485619084793	0.710263243565849	8.95890286530626	311.200064071517	-3480.70935196678
HPD95.upper	-3576.59915700537	-3443.37233689268	-128.60438313348	11252.2364902632	0.435775581731672	0.88965915290097	10.9369584595097	381.163985586662	-3443.37233689268
ACT	7767.95499129199	7624.24410024695	7319.60631924761	6860.61904197662	14569.0288565762	19288.2238943292	15439.8482138772	14571.1565628701	7624.24410024695
ESS	1158.73482919124	1180.57605208475	1229.71094447129	1311.98073306905	617.817432349795	466.657793341269	582.972052271212	617.727217545388	1180.57605208475
n.samples	9001	9001	9001	9001	9001	9001	9001	9001	9001
chain.length	1e+07	1e+07	1e+07	1e+07	1e+07	1e+07	1e+07	1e+07	1e+07
log.every	1000	1000	1000	1000	1000	1000	1000	1000	1000
