trace	posterior	likelihood	prior	NInfinity	b	f0	tree.height	tree.treeLength	treeLikelihood
mean	-3362.22967719557	-3225.86144869406	-136.368228501515	5335.17139714069	0.40495649080606	0.792245171169908	9.4151509911951	321.577008220902	-3225.86144869406
stderr.of.mean	0.197591796669203	0.159677092648672	0.111406665073209	56.9092202999364	0.000619376566593182	0.0016173542018211	0.0147018682041683	0.474854542483147	0.159677092648672
stdev	7.47558818682236	6.35364451112971	4.41604687550347	2266.75886291953	0.0188053195152892	0.036866252875368	0.379951021736297	12.8156114520053	6.35364451112971
variance	55.884418738958	40.3687985738086	19.5014700066439	5138195.74262422	0.000353640042072116	0.00135912060107058	0.144362778918456	164.239896888768	40.3687985738086
median	-3361.79723695396	-3225.49072907585	-136.157652556823	4879.66379742034	0.404570099390747	0.79445019342142	9.41528292307664	321.426105750011	-3225.49072907585
mode	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric
geometric.mean	NaN	NaN	NaN	4922.98678408421	0.404520466705992	0.79137649598521	9.40747678342481	321.321364150142	NaN
HPD95.lower	-3392.88128648472	-3256.3007725922	-157.555331215802	1369.22659812868	0.340715784476557	0.640291452162083	7.85729579231286	268.09525932431	-3256.3007725922
HPD95.upper	-3350.74216315794	-3216.20707838998	-129.51216428571	9619.26255821288	0.437010885461613	0.849580055607499	10.0542534934087	342.772482624533	-3216.20707838998
ACT	6287.66777197702	5684.36442313393	5727.927370988	5672.79552911361	9763.16459625771	17321.8706405764	13475.1100580942	12356.2029813756	5684.36442313393
ESS	1431.53237836703	1583.46638779319	1571.42355637925	1586.69565187139	921.934677148652	519.63209902487	667.972280834418	728.460030445207	1583.46638779319
n.samples	9001	9001	9001	9001	9001	9001	9001	9001	9001
chain.length	1e+07	1e+07	1e+07	1e+07	1e+07	1e+07	1e+07	1e+07	1e+07
log.every	1000	1000	1000	1000	1000	1000	1000	1000	1000
