trace	posterior	likelihood	prior	NInfinity	b	f0	tree.height	tree.treeLength	treeLikelihood
mean	-3274.26724221697	-3104.07163316255	-170.195609054423	1261.35052274796	0.384052452190653	0.839110736441237	10.3539699966978	291.23212621401	-3104.07163316255
stderr.of.mean	0.112026187906324	0.105270750731176	0.144726888839603	11.5006606162904	0.000471267478326824	0.00123916462063744	0.0144779382536465	0.322455186650341	0.105270750731176
stdev	6.2370701885091	5.70645966685937	4.82478302668856	459.967797325431	0.0176990353282413	0.0331627783148513	0.463816563565356	11.9573971462115	5.70645966685937
variance	38.901044536389	32.5636819294927	23.278531254622	211570.374576409	0.000313255851550332	0.00109976986555997	0.215125804637576	142.979346512226	32.5636819294927
median	-3273.86773504933	-3103.7413989948	-169.992459661309	1170.70101022645	0.383604761894334	0.841458669057935	10.345914003529	291.156698434996	-3103.7413989948
mode	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric
geometric.mean	NaN	NaN	NaN	1186.67350257387	0.383645306672504	0.838448127077093	10.343602641786	290.986835020649	NaN
HPD95.lower	-3305.05377960554	-3130.35307591485	-193.844537144536	316.968796339474	0.319379254124696	0.656952051381962	8.46522906065529	242.170150187949	-3130.35307591485
HPD95.upper	-3264.81215362654	-3095.3767141082	-162.683334908838	2129.3337623943	0.413840920363755	0.889752958456342	11.1344272354101	311.048547897652	-3095.3767141082
ACT	2903.49014899387	3062.84091645951	8098.14187971885	5626.43394278151	6380.845850404	12566.0475664195	8769.26989105622	6544.97406691041	3062.84091645951
ESS	3100.06217969056	2938.7748973932	1111.48954089608	1599.76995936261	1410.6280281681	716.295235428964	1026.4252454107	1375.25373026405	2938.7748973932
n.samples	9001	9001	9001	9001	9001	9001	9001	9001	9001
chain.length	1e+07	1e+07	1e+07	1e+07	1e+07	1e+07	1e+07	1e+07	1e+07
log.every	1000	1000	1000	1000	1000	1000	1000	1000	1000
