trace	posterior	likelihood	prior	NInfinity	b	f0	tree.height	tree.treeLength	treeLikelihood
mean	-2948.65006757659	-2805.2666981076	-143.38336946899	3439.73138535464	0.410761950777712	0.704338193304507	8.14348098546077	261.59028211128	-2805.2666981076
stderr.of.mean	0.191760827633184	0.16057737413912	0.087359854649648	33.0878216888734	0.000404314537215753	0.00131288644632961	0.0088817553930438	0.248252251115056	0.16057737413912
stdev	7.27836220265709	6.28120719182957	4.0519646879353	1405.66021854338	0.0189742831377161	0.0449113954261123	0.359569648208108	11.0965660579183	6.28120719182957
variance	52.9745563530674	39.4535637866916	16.4184178322746	1975880.64999542	0.000360023420590217	0.00201703343912062	0.129290331912503	123.133778277745	39.4535637866916
median	-2948.23733987976	-2804.87789916671	-143.1987283358	3155.06183212	0.410213767185054	0.705765672227074	8.13839118138568	261.418056107931	-2804.87789916671
mode	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric
geometric.mean	NaN	NaN	NaN	3187.95489431591	0.410324645322236	0.702886431605669	8.13553888789882	261.35479649345	NaN
HPD95.lower	-2979.4108037522	-2837.58453370988	-161.08744411537	758.651136583577	0.348559125073027	0.521702532943405	6.77807535737193	219.538289871181	-2837.58453370988
HPD95.upper	-2937.32259670229	-2795.61128989689	-137.037683746165	6084.61050909771	0.442949372241161	0.775877146040182	8.74481746614457	280.01223006326	-2795.61128989689
ACT	6247.3374734758	5881.99930831102	4183.45407537856	4986.75634857304	4086.4902190547	7691.01636899396	5491.28608836872	4504.55287382175	5881.99930831102
ESS	1440.77377574293	1530.26199565885	2151.57136610506	1804.9809075945	2202.6236495146	1170.32646508037	1639.14242586365	1998.20054334569	1530.26199565885
n.samples	9001	9001	9001	9001	9001	9001	9001	9001	9001
chain.length	1e+07	1e+07	1e+07	1e+07	1e+07	1e+07	1e+07	1e+07	1e+07
log.every	1000	1000	1000	1000	1000	1000	1000	1000	1000
