trace	posterior	likelihood	prior	NInfinity	b	f0	tree.height	tree.treeLength	treeLikelihood
mean	-2525.10783556259	-2376.25065265863	-148.857182903953	2433.01575842407	0.417865936738572	0.620236550235208	7.15717730224344	213.284447847588	-2376.25065265863
stderr.of.mean	0.175260993306214	0.164404063630419	0.0843525770681195	21.7732498113242	0.00030581974512864	0.0017345081068083	0.00982011923778505	0.253870827527205	0.164404063630419
stdev	6.90410793751843	6.2524445052637	3.62463499208666	992.077005907953	0.019344299968575	0.051301893952129	0.354957241458059	10.0319876589288	6.2524445052637
variance	47.666706412905	39.0930622914022	13.1379788258591	984216.785651289	0.00037420194127421	0.00263188432307549	0.125994643263515	100.640776388899	39.0930622914022
median	-2524.73949504933	-2375.81986134408	-148.653248986688	2243.20602817272	0.417541024607061	0.621069922173183	7.15090973907834	213.172616989785	-2375.81986134408
mode	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric
geometric.mean	NaN	NaN	NaN	2255.50254287334	0.417418933420287	0.618072662908477	7.14839428969083	213.048432426476	NaN
HPD95.lower	-2556.14263969785	-2407.79882530832	-166.507307955731	658.034412465451	0.35625664337242	0.406983714660235	5.85965114930254	172.133926588457	-2407.79882530832
HPD95.upper	-2514.54555360392	-2366.89974529648	-143.248485602529	4297.13513469752	0.449825228909326	0.702209890195762	7.76205993342359	230.003785628594	-2366.89974529648
ACT	5799.59807091579	6222.54302892169	4874.28206275213	4335.09128846918	2249.40425305373	10287.9388662998	6888.48861668393	5763.60385199647	6222.54302892169
ESS	1552.00410268753	1446.51470599148	1846.63092617948	2076.31152403678	4001.50394833677	874.907998285696	1306.67269714282	1561.69650641102	1446.51470599148
n.samples	9001	9001	9001	9001	9001	9001	9001	9001	9001
chain.length	1e+07	1e+07	1e+07	1e+07	1e+07	1e+07	1e+07	1e+07	1e+07
log.every	1000	1000	1000	1000	1000	1000	1000	1000	1000
