trace	posterior	likelihood	prior	NInfinity	b	f0	tree.height	tree.treeLength	treeLikelihood
mean	-3272.76800188356	-3131.00750657499	-141.760495308568	4421.86501853908	0.406118850203001	0.791950128539113	9.28918235225419	310.140420094511	-3131.00750657499
stderr.of.mean	0.285840579386169	0.274587206336177	0.111405109250309	49.1513902238611	0.000549181253691598	0.00166805477574671	0.0149807389801522	0.465706778713471	0.274587206336177
stdev	8.25259091677281	7.43146917443894	3.97391515623804	1848.44495517635	0.0189752384561336	0.039546321957699	0.395745430481051	12.8339102920516	7.43146917443894
variance	68.105256839601	55.2267340906362	15.7920016689784	3416748.7523169	0.00036005967446713	0.00156391158038199	0.156614445746632	164.709253384428	55.2267340906362
median	-3272.10462302684	-3130.47121479087	-141.57136616423	4045.02692461385	0.405529462601633	0.794360185227482	9.28206722913182	310.209382266672	-3130.47121479087
mode	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric
geometric.mean	NaN	NaN	NaN	4086.23325690644	0.40567677502303	0.790947499123816	9.28075089966922	309.874390264198	NaN
HPD95.lower	-3308.75700660549	-3167.5418270142	-162.169036976232	1078.90547089397	0.338176502480119	0.60231932910147	7.78549079941914	259.031461103024	-3167.5418270142
HPD95.upper	-3260.24240844716	-3119.73352742357	-135.558901875756	7900.30072577243	0.437997606509852	0.853346658379034	9.9473016816287	331.059427229623	-3119.73352742357
ACT	10797.1624579278	12287.2229862501	7073.19352328021	6363.57360642099	7538.75150046319	16012.1969930998	12896.6573227531	11850.8533640378	12287.2229862501
ESS	833.64495394723	732.549576911926	1272.55107192737	1414.45680630107	1193.96427902511	562.133978483956	697.932787910854	759.52336287563	732.549576911926
n.samples	9001	9001	9001	9001	9001	9001	9001	9001	9001
chain.length	1e+07	1e+07	1e+07	1e+07	1e+07	1e+07	1e+07	1e+07	1e+07
log.every	1000	1000	1000	1000	1000	1000	1000	1000	1000
